"","AGENCYNAME","SOURCE","AGENCYUNIQ","LASTMODIFI","MODIFIEDBY","SOURCECOMM","Date_Data_","Shape_STAr","Shape_STLe"
"2129","Rancho Santa Teresa Mutual Water Company","CDPH",2009,"2013/04/14","source",NA,"2013/04/14",1395431.39996,5845.98382003
"2130","Sun Valley Rice Company","CDPH",2412,"2011/09/16","source",NA,"2011/09/16",50648.6305332,1060.07688047
"2131","Camp Winthers","CDPH",463,"2013/03/01","source",NA,"2013/03/01",200639.710268,1929.64378268
"2132","Woodlake  City Of","CDPH",2765,"2012/08/22","source",NA,"2012/08/22",7024886.76446,27258.7941551
"2133","Marina Mobile Manor","CDPH",1548,"2011/09/28","source",NA,"2011/09/28",8374.32864106,362.135199872
"2134","Silverfork Store Water System","CDPH",2303,"2011/09/30","source",NA,"2011/09/30",291.844316244,71.5331391801
"2135","Camp Concord","CDPH",449,"2011/10/04","source",NA,"2011/10/04",250570.252241,2164.05799961
"2136","Esalen Institute Water System","CDPH",849,"2011/09/04","source",NA,"2011/09/04",433744.074516,4564.58765948
"2137","Golden Oaks Mobile Estates","CDPH",1021,"2011/07/26","source",NA,"2011/07/26",34109.072998,749.886619282
"2138","Heller Estates Water System","CDPH",1155,"2011/09/04","source",NA,"2011/09/04",1898970.55572,6877.6754971
"2139","Mammoth Pool Mobile Home Park","CDPH",1535,"2011/08/25","source",NA,"2011/08/25",30865.6908674,699.859588726
"2140","Terra Linda Farms","CDPH",2461,"2012/08/22","source",NA,"2012/08/22",65523.823177,1129.32677901
"2141","Casa De Fruta Orchards","CDPH",490,"2013/02/04","source",NA,"2013/02/04",318516.735749,3719.5298235
"2142","Mono Hot Springs Resort","CDPH",1636,"2011/10/17","source",NA,"2011/10/17",65634.1319666,1068.36377898
"2143","San Bernardino County Service Area 70 J Oak Hills","CDPH",2891,"2013/10/02","source",NA,"2013/10/02",73829684.5925,78728.9271234
"2144","Golden State Water Company - Yorba Linda","CDPH",1065,"2012/03/05","source",NA,"2012/03/05",1887000.04091,9922.3159678
"2145","California Water Service Company - San Carlos","CDPH",419,"2012/01/27","source",NA,"2012/01/27",14984304.8726,19210.0823302
"2146","Linda Falls Terrace Mutual","CDPH",1428,"2013/08/14","source",NA,"2013/08/14",256785.95497,4965.2488504
"2147","Lundberg Rice Products","CDPH",1505,"2011/09/06","source",NA,"2011/09/06",94997.225769,1251.28148765
"2148","Suburban Water Systems - Glendora","CDPH",2399,"2013/06/19","source",NA,"2013/06/19",2066263.95348,16066.1554522
"2149","Valley Teen Ranch","CDPH",2612,"2011/06/27","source",NA,"2011/06/27",137287.225062,1570.43073827
"2150","Washington Union High School","CDPH",2665,"2011/10/13","source",NA,"2011/10/13",80924.2953866,1285.29921002
"2151","Benbow Water Company","CDPH",177,"2011/11/01","source",NA,"2011/11/01",2146514357.68,247448.218066
"2152","Chico Eastside Little League","CDPH",542,"2011/09/07","source",NA,"2011/09/07",48561.9429455,809.989677325
"2153","California Water Service Company - Oak Hills","CDPH",409,"2012/01/27","source",NA,"2012/01/27",7513942.57747,13712.4536818
"2154","Hood Water Maintenance District","CDPH",1196,"2010/10/08","source",NA,"2010/10/08",921605.611751,4038.03157137
"2155","Hidden Valley Water Authority","CDPH",1174,"2011/09/04","source",NA,"2011/09/04",348122.204281,5311.09532667
"2156","Wilbur Hot Springs","CDPH",2725,"2011/09/14","source",NA,"2011/09/14",115677.102091,1652.22827272
"2157","Lucky 18 On Rosamond","CDPH",1503,"2011/08/05","source",NA,"2011/08/05",37134.2203712,1012.19423925
"2158","Sequoia Village Inn","CDPH",2250,"2012/05/09","source",NA,"2012/05/09",5502.19556427,362.759908587
"2159","CEMEX / Eliot Plant","CDPH",506,"2012/03/12","source",NA,"2012/03/12",215533.643729,1872.0405983
"2160","Big Meadow Campground","CDPH",205,"2011/09/08","source",NA,"2011/09/08",44786.733211,947.624148067
"2161","Golden State Water Company - Florence Graham","CDPH",1041,"2012/04/17","source",NA,"2012/04/17",9719559.37226,19286.9352719
"2162","Asoleado Mutual Water Company","CDPH",103,"2011/09/04","source",NA,"2011/09/04",2554013.15675,15376.0766084
"2163","Sundown Mobile Home Park","CDPH",2415,"2011/07/26","source",NA,"2011/07/26",50630.2400455,1093.79269733
"2164","HMC Group Cold Storage (The)","CDPH",1186,"2011/10/24","source",NA,"2011/10/24",83782.4402351,1240.73636957
"2165","Big Pine Community Service District","CDPH",208,"2011/11/22","source",NA,"2011/11/22",1582911.42527,6489.89817073
"2166","South Fork Elementary School in Kern County","CDPH",2338,"2013/02/12","source",NA,"2013/02/12",43754.0461159,837.697350236
"2167","Butano Canyon Mutual","CDPH",292,"2010/10/08","source",NA,"2010/10/08",444094.298112,4180.348751
"2168","Guardian Industries Corp","CDPH",1114,"2011/10/20","source",NA,"2011/10/20",185181.13661,1919.85755066
"2169","Highland Mobile Home Park","CDPH",1177,"2011/11/22","source",NA,"2011/11/22",301157.993586,2736.83102573
"2170","Fairways Tract Mutual","CDPH",871,"2012/08/22","source",NA,"2012/08/22",71959.1254768,1285.07502192
"2171","West Park Properties","CDPH",2681,"2011/09/29","source",NA,"2011/09/29",28893.3103943,948.720996272
"2172","Rancho Villa Mobile Acres","CDPH",2012,"2011/06/27","source",NA,"2011/06/27",14570.210228,590.59102193
"2173","Melody Woods Water Company","CDPH",1584,"2013/03/08","source",NA,"2013/03/08",391761.282478,2573.61315907
"2174","Country Western Mobile Home Park","CDPH",639,"2011/09/26","source",NA,"2011/09/26",35200.5726476,756.940082957
"2175","Ranch House Cafe","CDPH",1997,"2013/05/06","source",NA,"2013/05/06",127046.76894,1549.94079921
"2176","Woodside Mutual","CDPH",2770,"2010/10/08","source",NA,"2010/10/08",22578.8212681,532.884336055
"2177","Miller's Lodge Water System","CDPH",1614,"2011/09/04","source",NA,"2011/09/04",3892.05123711,295.583830947
"2178","Olancha Elementary School","CDPH",1787,"2012/12/03","source",NA,"2012/12/03",14568.9886494,483.351599592
"2179","Wilson Circle Mutual Water Company","CDPH",2746,"2012/11/14","source",NA,"2012/11/14",52956.5902424,1210.05445924
"2180","Heavenly Ski Resort","CDPH",1146,"2015/08/24","JCOMMON",NA,"2011/10/04",20315801.2675,19580.8340895
"2181","Royal Carrizo Home Owners Association","CDPH",2116,"2011/09/16","source",NA,"2011/09/16",1438153.63152,4764.06198976
"2182","Premium Packing Water System","CDPH",1966,"2011/09/04","source",NA,"2011/09/04",16669.1806736,731.643614552
"2183","Shady Oaks Trailer Park","CDPH",2258,"2011/10/31","source",NA,"2011/10/31",37438.9249001,1068.43490719
"2184","Aerial Acres Water System","CDPH",16,"2011/07/29","source",NA,"2011/07/29",438482.457291,2811.00843533
"2185","Dunnigan Water Works","CDPH",766,"2010/10/08","source",NA,"2010/10/08",44758005.5969,94653.8912594
"2186","Clear Ridge Water Agency","CDPH",569,"2011/09/04","source",NA,"2011/09/04",2915501.99254,15784.3945132
"2187","Crystal Caves Mobile Home Park","CDPH",658,"2011/10/03","source",NA,"2011/10/03",76370.4403288,1270.67951445
"2188","Hughson  City Of","CDPH",1208,"2011/10/14","source",NA,"2011/10/14",4725185.59511,11782.7528411
"2189","Palmer Creek Community Services District","CDPH",1850,"2011/11/01","source",NA,"2011/11/01",936307.670784,4512.22993518
"2190","Feather River School","CDPH",883,"2011/07/27","source",NA,"2011/07/27",28122.2339878,689.492686425
"2191","Del Oro Water Company - Magalia","CDPH",701,"2010/10/08","source",NA,"2010/10/08",1274642.2648,5580.84664378
"2192","Yerba Buena Water Company","CDPH",2776,"2012/05/21","source",NA,"2012/05/21",1306303.1967,9659.64141686
"2193","US Forest Service - Sabrina Campground","CDPH",2572,"2012/12/04","source",NA,"2012/12/04",21224.6882305,621.577153818
"2194","Quail Canyon Sea","CDPH",1981,"2013/02/20","source",NA,"2013/02/20",208136.952686,5592.12750116
"2195","Sherwood Forest Mobile Home Park","CDPH",2279,"2011/06/30","source",NA,"2011/06/30",17671.8593955,658.534720307
"2196","Brawley  City Of","CDPH",262,"2011/11/02","source",NA,"2011/11/02",22637353.7212,22714.0134327
"2197","Riverview Mobile Homes","CDPH",2089,"2011/09/27","source",NA,"2011/09/27",9103.77303728,393.824612224
"2198","Crystal Geyser Bottling Plant","CDPH",659,"2012/12/03","source",NA,"2012/12/03",162000.79138,1990.78226658
"2199","Perris  City Of","CDPH",1888,"2013/05/15","source",NA,"2013/05/15",7494370.07272,14252.1164162
"2200","Cannon Park Water Company","CDPH",468,"2013/08/14","source",NA,"2013/08/14",77811.7888355,1489.00482058
"2201","Southern California Edison Santa Catalina","CDPH",2353,"2010/10/08","source",NA,"2010/10/08",50686328.1261,42722.9368221
"2202","Millpond Recreation Area","CDPH",1616,"2012/12/07","source",NA,"2012/12/07",436137.785577,2662.15097631
"2203","St Helena  City Of","CDPH",2367,"2013/09/25","source",NA,"2013/09/25",13097648.0953,22546.4258972
"2204","Heritage Ranch Community Service District","CDPH",1161,"2012/05/25","source",NA,"2012/05/25",21298120.1523,22829.779196
"2205","Corral De Tierra Estates Water Company","CDPH",626,"2011/09/04","source",NA,"2011/09/04",26140.8514824,1048.4705051
"2206","CA Parks And Recreation Department - Red Rock Canyon","CDPH",337,"2012/03/21","source",NA,"2012/03/21",101568277.649,48378.596086
"2207","Arnold Park (or Bannon's Mobile Home Park)","CDPH",97,"2011/09/16","source",NA,"2011/09/16",18291.0153494,580.054795061
"2208","California Water Service Company - Willows","CDPH",429,"2010/10/08","source",NA,"2010/10/08",5430776.77226,10541.9511821
"2209","Lacey Courts Mobile Home Park","CDPH",1334,"2011/08/09","source",NA,"2011/08/09",8249.6506381,377.731620088
"2210","US Park Service - Lassen","CDPH",2591,"2012/02/28","source",NA,"2012/02/28",212178.579597,1926.18522012
"2211","Estrella Correctional Facility","CDPH",857,"2012/05/23","source",NA,"2012/05/23",480723.016252,2800.25893854
"2212","Mountain View Duplexes","CDPH",1672,"2012/08/22","source",NA,"2012/08/22",26860.7192669,996.751765684
"2213","Biggers Ponderosa Trailer Park","CDPH",215,"2011/10/14","source",NA,"2011/10/14",36499.6191463,876.427949547
"2214","West Goshen Mutual Water Company","CDPH",2678,"2012/08/22","source",NA,"2012/08/22",1421299.18012,6834.26239434
"2215","Lake Elizabeth Mutual Water Company","CDPH",1350,"2012/08/29","source",NA,"2012/08/29",16955261.5627,43274.9811142
"2216","San Bernardino County Service Area 70 W1 Landers","CDPH",2153,"2013/10/02","source",NA,"2013/10/02",23729726.7547,31481.2505739
"2217","East Bay Region Parks - Del Valle Regional Park","CDPH",777,"2011/07/19","source",NA,"2011/07/19",12446178.5097,19935.8399923
"2218","Forest Springs","CDPH",913,"2013/07/07","source",NA,"2013/07/07",223909.832762,2410.44554904
"2219","Kinneloa Irrigation District","CDPH",1305,"2010/10/08","source",NA,"2010/10/08",3103549.36587,11017.0448493
"2220","Cachagua Mutual Water System (No 04)","CDPH",343,"2011/09/04","source",NA,"2011/09/04",1126384.83502,9569.78721872
"2221","Altman Plants Water System No 01","CDPH",48,"2011/09/04","source",NA,"2011/09/04",50093.6970234,968.954854484
"2222","Fairmont School","CDPH",868,"2011/10/10","source",NA,"2011/10/10",39869.9339032,797.749607033
"2223","Mount Diablo State Park","CDPH",1664,"2012/04/11","source",NA,"2012/04/11",77241299.4326,72760.2111557
"2224","Hidden Canyon Ranch Mutual Water Company","CDPH",1170,"2011/09/04","source",NA,"2011/09/04",831883.492764,5796.11273815
"2225","Eel River Charter School","CDPH",808,"2012/04/04","source",NA,"2012/04/04",3858.97605896,278.424061207
"2226","Sea Ranch Water Company","CDPH",2239,"2013/03/06","source",NA,"2013/03/06",17247329.5907,42944.6408618
"2227","Flamingo Mobile Manor","CDPH",901,"2011/09/26","source",NA,"2011/09/26",25387.2935176,697.761736072
"2228","Deetjen's Big Sur Inn Water System","CDPH",688,"2011/09/04","source",NA,"2011/09/04",215187.619072,2456.33526165
"2229","El Centro Mobile Home Park","CDPH",815,"2011/11/01","source",NA,"2011/11/01",7961.46150208,436.632931837
"2230","George Chiala Farms","CDPH",988,"2012/03/06","source",NA,"2012/03/06",47411.7450085,999.705267086
"2231","Triple R Mutual Water Company","CDPH",2508,"2012/08/22","source",NA,"2012/08/22",1779505.17107,5294.77164677
"2232","Bill Massa Company Water System**closed**","CDPH",219,"2011/09/04","source",NA,"2011/09/04",47164.7981987,947.82234962
"2233","Mahal Apartments","CDPH",1524,"2011/06/27","source",NA,"2011/06/27",58755.5436115,1005.11984316
"2234","Herndon Water Company","CDPH",1163,"2012/08/22","source",NA,"2012/08/22",203381.972796,2346.27012321
"2235","Los Angeles County Waterworks District 40 Reg. 35 - North East LA","CDPH",1485,"2010/10/08","source",NA,"2010/10/08",253254313.062,83999.7800274
"2236","Orland Estates Mobile Home Park","CDPH",1811,"2011/10/31","source",NA,"2011/10/31",55263.0124512,941.975756104
"2237","Mil Potrero Mutual Water Company","CDPH",1611,"2013/07/09","source",NA,"2013/07/09",19105325.2562,24115.4482988
"2238","Rancho Santa Rosa Mobile Home Park","CDPH",2008,"2011/09/26","source",NA,"2011/09/26",25913.9484243,748.284311567
"2239","Heck Cellars Water System","CDPH",1147,"2013/05/24","source",NA,"2013/05/24",177669.163979,1868.48612683
"2240","Oakendell","CDPH",1767,"2011/09/13","source",NA,"2011/09/13",16686.5255619,608.802649204
"2241","Mountain View Mobile Home Park  Tulare County","CDPH",1675,"2012/08/22","source",NA,"2012/08/22",4797.30526829,279.379030382
"2242","Rite Of Passage / Sierra Ridge","CDPH",2067,"2011/06/27","source",NA,"2011/06/27",196225.740958,1794.17092524
"2243","Richmond Hunting Club - Maxwell","CDPH",2052,"2011/09/16","source",NA,"2011/09/16",11438.3678722,416.85544364
"2244","Saf-T-Cab","CDPH",2141,"2012/03/05","source",NA,"2012/03/05",21176.1120048,669.986183327
"2245","Honcut Elementary School","CDPH",1195,"2011/07/27","source",NA,"2011/07/27",5787.68836784,343.290225873
"2246","Gateway Of The Americas","CDPH",984,"2013/08/15","source",NA,"2013/08/15",6212145.57593,10232.0515046
"2247","CA Parks and Recreation Department - Big Trees Campground","CDPH",327,"2012/12/04","source",NA,"2012/12/04",111369.455265,2534.57126166
"2248","Bella Lago Mobile Home Park","CDPH",164,"2011/12/29","source",NA,"2011/12/29",25684.2927818,651.509632946
"2249","California American Water Company - Isleton","CDPH",363,"2013/01/11","source",NA,"2013/01/11",142292035.733,197362.751368
"2250","Tularcitos Mutual Water Company","CDPH",2515,"2011/09/04","source",NA,"2011/09/04",1937312.39815,6536.96459312
"2251","US Forest Service - Lassen National Park","CDPH",2566,"2012/02/28","source",NA,"2012/02/28",217330.874029,2039.91355979
"2252","Wild Goose Duck Club","CDPH",2726,"2011/07/28","source",NA,"2011/07/28",43912.8256798,930.79743982
"2253","Apple Ave Water System No 02","CDPH",83,"2011/09/04","source",NA,"2011/09/04",40473.0516758,804.718672406
"2254","Teviston Community Service District","CDPH",2464,"2012/08/22","source",NA,"2012/08/22",774960.162533,5373.84553864
"2255","Vineyard Mutual Water Company/industrial","CDPH",2646,"2012/02/20","source",NA,"2012/02/20",497639.135206,2868.77880245
"2256","Keeler Community Service District","CDPH",1279,"2012/11/19","source",NA,"2012/11/19",381052.6556,2762.31915366
"2257","Pine Ridge School","CDPH",1911,"2011/10/10","source",NA,"2011/10/10",16842.5353594,659.214554455
"2258","Central Contra Costa Sanitary District","CDPH",515,"2011/09/29","source",NA,"2011/09/29",258749.813749,2113.31479657
"2259","Pioneer Bible Church Water System","CDPH",1918,"2011/09/30","source",NA,"2011/09/30",6725.48755383,345.809838361
"2260","Indian Creek Mutual Water Company","CDPH",1229,"2013/07/02","source",NA,"2013/07/02",334160.05062,2395.92856393
"2261","Alder Inn","CDPH",26,"2015/11/23","JCOMMON",NA,"2011/10/03",2236.43981388,210.697865073
"2262","Golden State Water Company - Los Osos","CDPH",1044,"2012/04/17","source",NA,"2012/04/17",6083700.63138,20144.3356247
"2263","California Water Service Company - Dixon","CDPH",390,"2010/10/08","source",NA,"2010/10/08",4403824.06427,11661.4061444
"2264","All Outdoors Adventure Trips No 10","CDPH",33,"2011/10/03","source",NA,"2011/10/03",5640.54503632,304.223806735
"2265","Aberdeen Water System","CDPH",10,"2012/11/02","source",NA,"2012/11/02",37475.7534885,833.988069505
"2266","Mary Lou Mobile Home Park","CDPH",1556,"2012/08/22","source",NA,"2012/08/22",28080.4841318,708.730685301
"2267","Oak Grove Trailer Park","CDPH",1759,"2012/01/10","source",NA,"2012/01/10",17660.4985771,526.800371936
"2268","Lakes (The)","CDPH",1362,"2012/08/22","source",NA,"2012/08/22",293708.958977,2318.21115581
"2269","East Bay Region Parks - Black Diamond Mines","CDPH",776,"2011/09/26","source",NA,"2011/09/26",15848269.8464,27431.8835042
"2270","Rural North Vacaville Water District","CDPH",2123,"2013/04/30","source",NA,"2013/04/30",20511414.3308,105589.892826
"2271","Shiloh Water Company","CDPH",2280,"2012/08/22","source",NA,"2012/08/22",7653.34434128,351.453621868
"2272","CA Parks and Recreation Department - El Capitan Beach","CDPH",330,"2013/02/21","source",NA,"2013/02/21",595362.294492,11710.5085635
"2273","Country Meadows Mutual Water Company","CDPH",636,"2011/09/04","source",NA,"2011/09/04",27278.5272026,1716.29633644
"2274","Belmont Terrace Mutual Water Company","CDPH",174,"2013/03/06","source",NA,"2013/03/06",129564.526559,1758.89507244
"2275","Lone Star School","CDPH",1462,"2011/10/12","source",NA,"2011/10/12",56249.2605491,1004.25327475
"2276","River Community (The)","CDPH",2068,"2012/01/10","source",NA,"2012/01/10",34426.0961609,984.805202445
"2277","Save Mart Distribution Center 802","CDPH",2231,"2012/03/22","source",NA,"2012/03/22",516946.001698,3124.57140253
"2278","Camp Wolfeboro","CDPH",464,"2015/09/25","JCOMMON",NA,"2011/09/09",31661.6502138,715.230451748
"2279","Yokohl Mutual Water Company","CDPH",2777,"2012/08/22","source",NA,"2012/08/22",86790.7319193,1169.96316088
"2280","Harrington Road Water System No 07","CDPH",1132,"2011/09/04","source",NA,"2011/09/04",179572.023298,1741.97711506
"2281","Prunedale Mutual Water Company","CDPH",1975,"2011/09/04","source",NA,"2011/09/04",2326007.4159,13094.9164216
"2282","Pierpoint Springs Water Company","CDPH",1902,"2012/08/22","source",NA,"2012/08/22",231878.625011,3063.06072378
"2283","Beef Packers","CDPH",162,"2011/10/24","source",NA,"2011/10/24",233450.329447,1945.0257511
"2284","Sonoma County Service Area 41 - Jenner","CDPH",2898,"2012/11/13","source",NA,"2012/11/13",639246.908502,4341.32665987
"2285","Sunnyslope Campgrounds","CDPH",2423,"2011/10/14","source",NA,"2011/10/14",72334.4655995,1071.76565583
"2286","Doyals Mobile Home Park","CDPH",749,"2012/08/22","source",NA,"2012/08/22",63026.5735774,1217.04532384
"2287","Winton Water And Sanitary District","CDPH",2757,"2013/06/27","source",NA,"2013/06/27",3651100.69939,12441.5694288
"2288","Great Oaks Water Company Incorporated","CDPH",1083,"2010/10/08","source",NA,"2010/10/08",27153845.0809,39163.1130811
"2289","George Cox Water System","CDPH",989,"2012/08/22","source",NA,"2012/08/22",28272.7211556,969.990353852
"2290","US Forest Service - Groveland Ranger Station","CDPH",2563,"2012/04/05","source",NA,"2012/04/05",266070.666737,2957.29988982
"2291","Briceland Community Services District","CDPH",266,"2011/10/31","source",NA,"2011/10/31",3368333.20111,9489.16918815
"2292","Willow Mobile Home Park","CDPH",2742,"2011/09/28","source",NA,"2011/09/28",92825.1331251,1448.76571779
"2293","Lee Vining Public Utilities District","CDPH",1409,"2013/06/14","source",NA,"2013/06/14",665832.5913,4315.93288666
"2294","Old River Mutual Water Company","CDPH",1791,"2011/07/29","source",NA,"2011/07/29",520282.327671,2909.02473601
"2295","Fresno County Service Area No 05 Wildwood Island","CDPH",951,"2010/10/08","source",NA,"2010/10/08",460149.958236,3529.55886951
"2296","Misionero Vegetables Water System","CDPH",1624,"2011/09/04","source",NA,"2011/09/04",1391691.24098,7281.17464807
"2297","Wonder Valley River Way Ranch","CDPH",2761,"2011/10/10","source",NA,"2011/10/10",149551.539927,2068.37724475
"2298","Camp Minkalo","CDPH",455,"2011/07/25","source",NA,"2011/07/25",46072.1253999,804.657287145
"2299","Southern California Edison Big Creek Powerhouse No 01","CDPH",2350,"2012/08/22","source",NA,"2012/08/22",261890.446944,2549.13061134
"2300","Camp Okizu","CDPH",457,"2011/09/07","source",NA,"2011/09/07",392363.836952,2720.15419135
"2301","CSU Chico  University Farm","CDPH",660,"2011/09/07","source",NA,"2011/09/07",3208142.90078,8642.84104248
"2302","Chevron Oil Field Water System","CDPH",541,"2011/09/04","source",NA,"2011/09/04",495988.907524,3306.99120018
"2303","Mireval Improvement Association","CDPH",1623,"2013/02/25","source",NA,"2013/02/25",149805.574243,1775.22911164
"2304","Bellflower  City Of","CDPH",169,"2013/07/09","source",NA,"2013/07/09",1571488.25786,16277.3829563
"2305","Golden State Water Company - Mor Del Norte","CDPH",1046,"2012/04/17","source",NA,"2012/04/17",2682968.46307,8870.14601102
"2306","Fir Cove And Bailey Canyon","CDPH",893,"2012/03/09","source",NA,"2012/03/09",233883.546692,1943.12975524
"2307","Sunbird Mobile Home Park","CDPH",2413,"2011/09/16","source",NA,"2011/09/16",40453.6483612,805.162199043
"2308","Vailima Estates Mutual Water","CDPH",2599,"2013/08/14","source",NA,"2013/08/14",333404.208365,4271.97677562
"2309","Kamp Klamath","CDPH",1275,"2011/09/29","source",NA,"2011/09/29",13624.6720047,535.336536472
"2310","Grace Foundation, The","CDPH",1074,"2011/10/03","source",NA,"2011/10/03",82470.074059,1221.22046693
"2311","Exeter  City Of","CDPH",863,"2012/08/22","source",NA,"2012/08/22",5904382.68392,16656.5421094
"2312","Tierra Meadows Home Owners Association Water System","CDPH",2477,"2011/09/04","source",NA,"2011/09/04",189197.73517,4547.73560318
"2313","Robinson's Corner Mobile Home Park","CDPH",2097,"2011/07/26","source",NA,"2011/07/26",39116.5990124,792.478306679
"2314","Shaver Lake Heights Prop Association","CDPH",2276,"2012/08/22","source",NA,"2012/08/22",649025.318444,3228.31534611
"2315","Salt Springs Valley Resort & Campground","CDPH",2143,"2011/09/09","source",NA,"2011/09/09",38210.1350012,1349.69123506
"2316","Baseline Gardens Mutual Water Company","CDPH",138,"2013/02/21","source",NA,"2013/02/21",207935.05146,1893.28264417
"2317","Bethel Missionary Baptist","CDPH",190,"2011/09/22","source",NA,"2011/09/22",8578.07268199,376.617491507
"2318","San Diego County Water Authority","CDPH",2161,"2013/06/26","source",NA,"2013/06/26",385944450.282,272187.747169
"2319","Bishop Country Club","CDPH",223,"2012/12/05","source",NA,"2012/12/05",621592.250495,4009.49601094
"2320","Golden State Water Company - Apply Valley","CDPH",1026,"2012/04/17","source",NA,"2012/04/17",7107202.38445,30639.6429892
"2321","Twin Pines Mobile Home Park","CDPH",2531,"2011/12/09","source",NA,"2011/12/09",12637.3976688,520.398736726
"2322","Hitchcock Road Water System No 01","CDPH",1184,"2011/09/04","source",NA,"2011/09/04",152850.914507,2452.73655335
"2323","Sacramento Municipal Utility District - Robbs Peak Powerhouse","CDPH",2137,"2011/10/03","source",NA,"2011/10/03",75935.8580277,1725.76654328
"2324","Golden State Water Company - Apply Valley","CDPH",1026,"2012/04/17","source",NA,"2012/04/17",4751514.77605,14881.4819048
"2325","Sea West Restaurant","CDPH",2240,"2011/09/29","source",NA,"2011/09/29",668.116348267,105.704670068
"2326","Blue Mountain Center","CDPH",237,"2012/03/06","source",NA,"2012/03/06",994552.763364,4084.07213986
"2327","Pinewood Inn","CDPH",1916,"2011/10/03","source",NA,"2011/10/03",2624.79957542,236.252972263
"2328","Golden State Water Company - Wrightwood","CDPH",1064,"2012/04/17","source",NA,"2012/04/17",867414.871933,5978.3009667
"2329","Howell Mountain Mutual Water Company","CDPH",1207,"2013/08/14","source",NA,"2013/08/14",1530345.20397,5165.21082947
"2330","Deerfield Lodge At Heavenly","CDPH",687,"2011/10/04","source",NA,"2011/10/04",4832.01488712,301.523889344
"2331","Los Angeles City Department Of Water And Power - San Bernardino County","CDPH",1476,"2013/07/02","source",NA,"2013/07/02",2158870.22147,10595.6571244
"2332","Livingston  City Of","CDPH",1444,"2011/10/14","source",NA,"2011/10/14",9272141.06295,19363.3719453
"2333","Cartago Mutual Water Company","CDPH",486,"2012/11/14","source",NA,"2012/11/14",249056.551561,2202.50805183
"2334","US Park Service - Redwood National Park - Requa Service Area","CDPH",2593,"2011/09/30","source",NA,"2011/09/30",709992.820251,3802.66738764
"2335","Jayne Travel Center","CDPH",1261,"2011/10/24","source",NA,"2011/10/24",19647.5173469,591.817929285
"2336","El Nido Mobile Home Park","CDPH",824,"2011/09/16","source",NA,"2011/09/16",55260.2218313,988.316552773
"2337","Del Oro Grandview Gardens District","CDPH",696,"2012/08/22","source",NA,"2012/08/22",104015.853397,1372.7383863
"2338","Tahoe Valley Elementary School","CDPH",2446,"2011/10/04","source",NA,"2011/10/04",28573.4555517,725.518762916
"2339","Glen Helen Regional Park","CDPH",1001,"2013/06/12","source",NA,"2013/06/12",637370.187965,3258.07707934
"2340","Mapes Heights Mutual Water Company","CDPH",1543,"2013/08/14","source",NA,"2013/08/14",197386.591381,1786.67078945
"2341","Lincoln  City Of","CDPH",1424,"2013/09/12","source",NA,"2013/09/12",1744505.00389,6157.55824217
"2342","Jokers Roadhouse","CDPH",1269,"2011/10/03","source",NA,"2011/10/03",1236.83288956,139.881516967
"2343","Plainview Mutual Water Company","CDPH",1930,"2012/08/22","source",NA,"2012/08/22",162523.44076,1613.25619852
"2344","Dingerville USA Park","CDPH",734,"2011/07/27","source",NA,"2011/07/27",75052.4898129,1505.85936681
"2345","Guadalupe Valley Irrigation District","CDPH",1113,"2015/10/02","WARNOLD","Georeferenced San Mateo 2010 General Plan LAFCo & NAIP 2012 Aerial","2010/10/08",1691909.07659,8005.8398411
"2346","Sandmound Mutual","CDPH",2201,"2011/06/27","source",NA,"2011/06/27",74004.692573,1388.31909971
"2347","Charles Brown Water Company","CDPH",530,"2012/11/16","source",NA,"2012/11/16",1958787.04571,7837.75097004
"2348","Ruth Guard Station","CDPH",2128,"2012/03/08","source",NA,"2012/03/08",14309.8431473,483.844829756
"2349","US Forest Service - Dorabella Campground","CDPH",2560,"2011/10/10","source",NA,"2011/10/10",150394.689614,1988.03922212
"2350","CA Parks And Recreation Department - Hollister Hills SVRA","CDPH",334,"2013/02/07","source",NA,"2013/02/07",26306582.8303,29687.5006779
"2351","Bishop Creek Lodge","CDPH",224,"2012/12/04","source",NA,"2012/12/04",34865.816349,955.785410723
"2352","Antelope Park Mutual Water Company","CDPH",78,"2010/10/08","source",NA,"2010/10/08",165366.091724,2030.07232204
"2353","Rod Mclellan Botanicals Water System","CDPH",2101,"2011/09/04","source",NA,"2011/09/04",1181766.38116,6657.17820192
"2354","Gorda Water System","CDPH",1072,"2011/09/04","source",NA,"2011/09/04",5975.697155,557.206464842
"2355","Caples Lake Resort","CDPH",475,"2011/07/20","source",NA,"2011/07/20",21423.0457294,649.672326454
"2356","Los Angeles County Waterworks District 21 - Kagel Canyon","CDPH",1480,"2010/10/08","source",NA,"2010/10/08",538570.658924,5037.64256777
"2357","Delany Water Company","CDPH",714,"2011/09/04","source",NA,"2011/09/04",163343.07279,3954.40852378
"2358","Rancho Colina Mobile Home Park","CDPH",2002,"2011/09/26","source",NA,"2011/09/26",67130.2111664,1319.7341116
"2359","Moro Road Water System No 09","CDPH",1659,"2011/06/27","source",NA,"2011/06/27",305326.972626,2228.84929499
"2360","McFarland  City of","CDPH",1569,"2012/04/05","source",NA,"2012/04/05",5488011.57932,15352.9096735
"2361","Buckeye Tree Lodge","CDPH",279,"2012/05/09","source",NA,"2012/05/09",5285.58420372,292.852547475
