PWSID,PWS_NAME,CONTACT_NAME,TITLE,BUSINESS_PHONE,LOCATION_ADDRESS,POPULATION,TYPE,AREA,OWNERSHIP,SOURCE,CONNECTIONS,WELLS,PLANTS,INTAKES,INTERTIES,COUNTY
CA1900767   ,GOLDEN VALLEY MUNICIPAL WATER DISTRICT,RAUL FLORES, ,,49744 GORMAN POST ROADGORMAN CA 93243,1140,Community,Other Transient Area          ,Private,Groundwater,17,1,1,0,0,Los Angeles
CA4210004   ,GOLETA WATER DISRICT,JOHN MCINNES,GENERAL MANAGER,805-879-4621   ,4699 HOLLISTER AVENUEGOLETA CA 93110,86946,Community,Residential Area              ,Local,Surface Water,16626,8,9,2,1,Santa Barbara
CA0706101   ,GOLF CLUB AT RODDY RANCH,KEVIN FITZGERALD, ,, ANTIOCH CA 94509,75,Non-Community (Transient),Residential Area              ,Private,Groundwater,1,1,0,0,0,Contra Costa
CA2701542   ,GONZALES  GAS STATION WS,ANN BOHLMAN, ,831-424-1691   , GONZALES CA 93926,200,Non-Community (Transient),Service Station               ,Private,Groundwater,2,1,0,0,0,Monterey
CA2400233   ,GONZALES FOOD FACILITY,XIPING HE GONZALEZ,OWNER,408-427-5869   ,16447 ELGIN AVE.DOS PALOS CA 93620,60,Non-Community (Transient),Restaurant                    ,Private,Groundwater,2,1,0,0,0,Merced
CA2710007   ,"GONZALES, CITY OF",HAROLD WOLGAMOTT,ACTING PUB. WRKS DIR,831-675-5000   ,"147 FOURTH STREET, GONZALES CA 93926",8383,Community,Residential Area              ,Local,Groundwater,1930,4,4,0,0,Monterey
CA4200919   ,GOOD SAMARITAN SHELTER,TRACEY  TAYLOR, ,805-735-4390   , LOMPOC CA 93436,100,Non-Community (Transient),Other Transient Area          ,Private,Groundwater,2,1,1,0,0,Santa Barbara
CA3303072   ,GOOSE CREEK GOLF CLUB,,,, MIRA LOMA CA 91752,300,Non-Transient Non-Community,Recreation Area               ,Private,Groundwater,4,1,1,0,0,Riverside
CA2800008   ,GOOSECROSS CELLARS,BILL NANCARROW,WINEMAKER,707-944-1986   ,,1,Non-Community (Transient),Other Transient Area          ,Private,Groundwater,1,1,0,0,0,Napa
CA1500584   ,GOOSELAKE WATER COMPANY,PAMELA KASPER,TREASURER,661-589-5747   ,"1941 HEATH RD., BAKERSFIELD CA 93312",105,Community,Residential Area              ,Private,Groundwater,32,1,1,0,1,Kern
CA4700851   ,GOOSENEST DISTRICT OFFICE,MATHEW BOGATAY,OWNER,541-281-5540   ,"1312 FAIRLANE ROAD, YREKA CA 96097",50,Non-Transient Non-Community,Other Area                    ,Private,Groundwater,1,1,1,0,0,Siskiyou
CA2701310   ,GORDA WS,MARY MILLER, ,, BIG SUR CA 93920,50,Non-Community (Transient),Other Residential Area        ,Private,Groundwater under direct influence,1,0,1,0,0,Monterey
CA3600297   ,GORDON ACRES WATER CO,VIVIAN  ROBERTS, ,760-248-6357   , LUCERNE VALLEY CA 92356,195,Community,Residential Area              ,Private,Groundwater,39,2,0,0,0,San Bernardino
CA1300624   ,GORDON'S WELL #1,EDDIE YEPEZ, ,, WINTERHAVEN CA 92283,50,Non-Community (Transient),Mobile Home Park              ,Private,Groundwater,43,1,0,0,0,Imperial
CA1300662   ,GORDON'S WELL PARK # 2,,,, WINTERHAVEN CA 92283,50,Non-Community (Transient),Mobile Home Park              ,Private,Groundwater,62,1,0,0,0,Imperial
CA1900912   ,GORMAN ELEMENTARY SCHOOL,JOHANNIS ANDREWS, ,,49847 GORMAN SCHOOL ROADGORNAN CA 93243,122,Non-Transient Non-Community,School                        ,Local,Groundwater,4,1,0,0,1,Los Angeles
CA1502622   ,GOSFORD ROAD WATER COMPANY,BRIAN REESE,PRESIDENT,661-397-4755   ,13958 GOSFORD ROADBAKERSFIELD CA 93313,50,Community,Residential Area              ,Private,Groundwater,15,2,0,0,0,Kern
CA4500074   ,GOTCHA CREEK MOBILEHOME PARK,,,, COTTONWOOD CA 96022,50,Non-Public,Mobile Home Park              ,Private,Groundwater,12,1,0,0,0,Shasta
CA5100180   ,GRACE BAPTIST CHURCH,JAVIER CABALLERO,PASTOR,530-673-6847   , YUBA CITY CA 95993,200,Non-Transient Non-Community,School                        ,Private,Groundwater,3,1,1,0,0,Sutter
CA5000532   ,GRACE COMMUNITY CHRISTIAN CHURCH,STEVE LA FARGE, ,209-531-6565   ,3754 SERVICE RDCERES CA 95307,160,Non-Community (Transient),Other Transient Area          ,Private,Groundwater,2,1,0,0,0,Stanislaus
CA1503648   ,GRACE COMMUNITY CHURCH WATER SYSTEM,PHILLIP BARTELL,PASTOR,661-345-8060   ,"3611 TAFT HIGHWAY, BAKERSFIELD CA 93313",70,Non-Community (Transient),Other Area                    ,Private,Groundwater,5,1,0,0,0,Kern
CA0300086   ,GRACE FELLOWSHIP CHURCH,MARK JOHNSON, ,209-223-1971   , JACKSON CA 95642,500,Non-Community (Transient),Other Transient Area          ,Private,Groundwater,2,1,0,0,0,Amador
CA3302020   ,GRACE KOREAN CHURCH,SUNG O CHOI, ,, CORONA CA 92883,50,Non-Community (Transient),Other Transient Area          ,Private,Groundwater,1,3,0,0,0,Riverside
CA2400099   ,GRACE MENNONITE SCHOOL,DEAN LOEWEN,BOARD MEMBER,,7200 N. CENTRAL AVENUEWINTON CA 95388,100,Non-Transient Non-Community,School                        ,Private,Groundwater,1,1,0,0,0,Merced
CA5700784   ,GRACE VALLEY CHRISTIAN CENTER,DAN  WASHABAUGH, ,530-756-5255   , DAVIS CA 95616,304,Non-Transient Non-Community,Other Transient Area          ,Private,Groundwater,4,1,0,0,0,Yolo
CA3210005   ,GRAEAGLE WATER COMPANY,DANIEL WEST,PRESIDENT,530-836-2612   ,7483 HIGHWAY 89GRAEAGLE CA 96103,737,Community,Residential Area              ,Private,Surface Water,915,0,1,1,0,Plumas
CA0400008   ,GRAN MUTUAL WATER CO,KEVIN  OSHEA,PRESIDENT,530-893-5276   , CHICO CA 95928,200,Community,Residential Area              ,Private,Groundwater,85,2,0,0,0,Butte
CA3400455   ,GRAND ISLAND MANSION,,,, WALNUT GROVE CA 95690,600,Non-Community (Transient),Restaurant                    ,Private,Groundwater,1,1,0,0,0,Sacramento
CA5400620   ,GRAND VIEW SCHOOL,JACK SCHREUDER,FACILITIES DIRECTOR,559-351-8688   ,39746 ROAD 64DINUBA CA 93618,200,Non-Transient Non-Community,School                        ,Local,Groundwater,11,1,0,0,0,Tulare
CA1000571   ,GRANDE HALL AT THE GARDENS,PEACH DAVTYAN, ,310-285-9602   ,5242 N GARFIELD AVEFRESNO CA 93722,302,Non-Community (Transient),Other Transient Area          ,Private,Groundwater,2,1,1,0,0,Fresno
CA2702550   ,GRANGE HALL WS,SANDY FRENCH, ,831-484-2153   , SALINAS CA 93908,25,Non-Transient Non-Community,School                        ,Private,Groundwater,1,1,1,0,0,Monterey
CA3303026   ,GRANITE CONSTRUCTION COMPANY,JAYNE POWELL, ,, INDIO CA 92203,25,Non-Transient Non-Community,Industrial/Agricultural       ,Private,Groundwater,3,1,4,0,0,Riverside
CA1502580   ,GRANITE CONSTRUCTION WATER SYSTEM,TIMOTHY FINDLEY,PLANT ENGINEER,661-387-7749   ,".55MI E/O HWY 65 & S/O JAMES RD, OILDALE, BAKERSFIELD CA 93388",40,Non-Transient Non-Community,Industrial/Agricultural       ,Private,Groundwater,2,1,1,0,0,Kern
CA4000700   ,GRANITE RIDGE,HARRY  GERE, ,805-238-3582   , CRESTON CA 93432,25,Non-Community (Transient),Summer Camp                   ,Private,Groundwater,1,2,0,0,0,San Luis Obispo
CA3400259   ,GRANT HIGH SCHOOL [SWS],,,, SACRAMENTO CA 95838,1400,Non-Transient Non-Community,School                        ,Local,Groundwater,12,1,0,0,0,Sacramento
CA2600552   ,GRANT LAKE MARINA,DOUG SMITH, ,, JUNE LAKE CA 93529,130,Non-Community (Transient),Restaurant                    ,Private,Groundwater,3,0,0,0,0,Mono
CA5700757   ,GRASSLAND PARK HOST WELL (OLD YOLO BOWME,ELMER  WILSON, ,530-756-1980   , DAVIS CA 95616,50,Non-Community (Transient),Recreation Area               ,Private,Groundwater,3,2,0,0,0,Yolo
CA0800666   ,GRASSY FLAT CAMPGROUND,DOUGLAS WINN, ,707-457-3872   ,"C/O USFS  500 5TH STREET, EUREKA CA 95501",57,Non-Community (Transient),Summer Camp                   ,Federal,Groundwater,5,0,1,0,0,Del Norte
CA4901221   ,GRATON MUTUAL (GREEN VALLEY HOA),NICHOLE BOONE,GRAPEVINE PROP. SVC.,707-541-6233   ,2833 BOWINGRATON CA 95444,45,Community,Residential Area              ,Private,Groundwater,16,1,1,0,0,Sonoma
CA5000273   ,GRATTON SCHOOL,SHANNON SANFORD, ,209-632-0505   , DENAIR CA 95316,110,Non-Transient Non-Community,School                        ,Local,Groundwater,2,1,0,0,0,Stanislaus
CA4901130   ,GRAVENSTEIN BUSINESS PARK,BRYAN VIDINSKY,OWNER,408-799-7722   ,2661 S. GRAVENSTEIN HIGHWAYSEBASTOPOL CA 95472,50,Non-Transient Non-Community,Industrial/Agricultural       ,Private,Groundwater,2,1,1,0,0,Sonoma
CA4900708   ,GRAVENSTEIN SCHOOL DISTRICT-GRAVENSTEIN,LINDA LAMARRE,SUPERINTENDENT,707-823-7008   ,3840 TWIG AVENUESEBASTOPOL CA 95472,398,Non-Transient Non-Community,School                        ,Local,Groundwater,7,1,1,0,0,Sonoma
CA4900711   ,GRAVENSTEIN SCHOOL DISTRICT-HILLCREST,LINDA LAMARRE,SUPERINTENDENT,707-823-7008   ,725 BLOOMFIELD ROADSEBASTOPOL CA 95472,289,Non-Transient Non-Community,School                        ,Local,Groundwater,1,1,1,0,0,Sonoma
CA2702180   ,GRAVES SCHOOL WS,ROSEMARIE GROUNDS, ,831-422-6392   , SALINAS CA 93907,56,Non-Transient Non-Community,School                        ,Local,Groundwater,2,1,0,0,0,Monterey
CA3200031   ,GRAY EAGLE LODGE,BRET SMITH,OPERATOR,530-836-2511   , BLAIRSDEN CA 96103,50,Non-Community (Transient),Hotel/Motel                   ,Private,Groundwater,1,1,0,0,0,Plumas
CA0400105   ,GRAY LODGE CHECK STATION,MIKE  WOMACK,OPERATOR,530-846-3315   , GRIDLEY CA 95948,8000,Non-Community (Transient),Recreation Area               ,State Government,Groundwater,7,1,1,0,0,Butte
CA4901073   ,GRAY WATER SYSTEM,REBECCA GRAY,PROPERTY OWNER,707-523-3869   ,3535 GUERNEVILLE ROADSANTA ROSA CA 95401,50,Non-Community (Transient),Restaurant                    ,Private,Groundwater,2,1,0,0,0,Sonoma
CA0900107   ,GRAY'S MART & GAS (HEALTH),GIL SURINDER, ,, SOMERSET CA 95684,100,Non-Community (Transient),Other Transient Area          ,Private,Groundwater,3,1,0,0,0,El Dorado
CA1400183   ,GRAY'S MEADOW CAMPGROUND,MT RECREATION SERVIC  CA1400183, ,, INDEPENDENCE CA 93526,50,Non-Community (Transient),Recreation Area               ,Federal,Groundwater,13,1,0,0,0,Inyo
CA4310022   ,"GREAT OAKS WC, INC.",JOHN ROEDER,CEO,408-227-9540   ,"20 GREAT OAKS BLVD., SAN JOSE CA 95119",99199,Community,Residential Area              ,Private,Groundwater,20695,20,1,0,0,Santa Clara
CA1000185   ,GREAT WESTERN ELEMENTARY SCHOOL,JOSEPH GONZALEZ,DIRECTOR OF MAINTENA,559-305-7062   ,5051 S FRANKWOODREEDLEY CA 93654,411,Non-Transient Non-Community,School                        ,Local,Groundwater,1,1,0,0,0,Fresno
CA5700580   ,GREEN ACRE SCHOOL CHILD CARE,FRAN  YORK, ,916-371-3513   , WEST SACRAMENTO CA 95691,105,Non-Community (Transient),School                        ,Private,Groundwater,1,1,0,0,0,Yolo
CA3200128   ,GREEN ACRES,FRITZ GRUTTER, ,530-284-6778   , TAYLORSVILLE CA 95983,12,Non-Public,Hotel/Motel                   ,Private,Unknown,5,0,0,0,0,Plumas
CA3600111   ,GREEN ACRES EST IMP ASSOC,,,, APPLE VALLEY CA 92307,33,Non-Public,Residential Area              ,Private,Groundwater,10,1,0,0,0,San Bernardino
CA1000229   ,GREEN ACRES MOBILE HOME ESTATE,ROSE MARTIN,MANAGER,559-275-1663   ,3051 N MOSSWOODFRESNO CA 93722,300,Community,Mobile Home Park              ,Private,Groundwater,112,1,1,0,0,Fresno
CA3301293   ,GREEN ACRES MOBILE PARK,SHARON DAVIS, ,, DESERT CENTER CA 92239,24,Non-Community (Transient),Residential Area              ,Private,Groundwater,30,1,0,0,0,Riverside
CA4300573   ,GREEN ACRES MUTUAL WATER,CHARLES COKER,PRESIDENT,408-779-2815   ,"GREEN ACRES/OAK GLEN AVENUE, MORGAN HILL CA 95038",53,Community,Residential Area              ,Private,Groundwater,19,3,2,0,0,Santa Clara
CA2300775   ,GREEN ACRES TRAILER PARK,NANCY GREEN,OWNER,707-964-1435   ,"23600 N. HWY 1, FORT BRAGG CA 95437",255,Non-Community (Transient),Mobile Home Park              ,Private,Groundwater,85,1,1,0,0,Mendocino
CA2701647   ,GREEN ACRES WA,KAREN CULBERTSON, ,831-633-8478   , CASTROVILLE CA 95012,50,Community,Residential Area              ,Private,Groundwater,20,1,0,0,0,Monterey
CA2600559   ,GREEN CREEK CAMPGROUND,SIERRA BREWER, ,, BRIDGEPORT CA 93517,75,Non-Community (Transient),Recreation Area               ,Federal,Groundwater,1,0,0,0,0,Mono
CA2100565   ,GREEN GULCH FARM,SARA TASHKER,DIRECTOR,415-354-0422   ,1601 SHORELINE HIGHWAYMUIR BEACH CA 94965,75,Community,Other Residential Area        ,Private,Groundwater under direct influence,17,2,2,0,0,Marin
CA3601040   ,GREEN MOUNTAIN RANCH,ROY  DE VORE, ,909-887-2854   , LYTLE CREEK CA 92358,25,Non-Community (Transient),Restaurant                    ,Private,Groundwater,4,1,0,0,0,San Bernardino
CA4300560   ,GREEN MOUNTAIN WATER COMPANY,BRUCE DOUGLAS, ,408-778-1097   ,15880 ARMSBY LANEMORGAN HILL CA 95037,180,Community,Residential Area              ,Private,Groundwater,43,1,0,0,0,Santa Clara
CA2300804   ,GREEN REAL ESTATE ENTERPRISES LLC,RICHARD GREEN,MANAGERING MEMBER,707-937-3960   ,"10501 LANSING STREET, MENDOCINO CA 95460",100,Non-Transient Non-Community,Other Transient Area          ,Private,Groundwater,5,1,1,0,0,Mendocino
CA4000554   ,GREEN RIVER MUTUAL WATER CO.,DENNIS  BOWMAN, ,805-610-8338   , PASO ROBLES CA 93446,350,Community,Residential Area              ,Private,Groundwater,115,3,0,0,0,San Luis Obispo
CA5000085   ,GREEN RUN MOBILE ESTATES,SHANNON LEQUE, ,209-632-5786   , TURLOCK CA 95380,100,Community,Mobile Home Park              ,Private,Groundwater,46,2,0,0,0,Stanislaus
CA3600011   ,GREEN VALLEY CAMPGROUND,,,, GREEN VALLEY LAKE CA 92341,1000,Non-Community (Transient),Summer Camp                   ,Federal,Groundwater,1,1,0,0,1,San Bernardino
CA3601149   ,GREEN VALLEY CAMPGROUND,BOB  OTA, ,909-884-6634   , GREEN VALLEY LAKE CA 92341,10000,Non-Community (Transient),Summer Camp                   ,Federal,Groundwater,1,1,0,0,0,San Bernardino
CA1910244   ,GREEN VALLEY CWD,GARY ALMSTED,GENERAL MANAGER,661-270-0836   ,39520 CALLE CASCADAGREEN VALLEY CA 91350,1000,Community,Residential Area              ,Local,Groundwater,499,8,8,0,0,Los Angeles
CA2701151   ,GREEN VALLEY FLORAL WS,CURTIS LOUIS, ,831-424-7691   , SALINAS CA 93908,25,Non-Transient Non-Community,Industrial/Agricultural       ,Private,Groundwater,1,1,1,0,0,Monterey
CA3610023   ,GREEN VALLEY MWC,RICHARD MULL,MANAGER,909-867-2912   ,33274 GREEN VALLEY LAKE ROADGREEN VALLEY LAKE CA 92341,350,Community,Residential Area              ,Private,Surface Water Purchased,1100,24,4,0,1,San Bernardino
CA3200407   ,GREENBRIAR ACRES,,,,,25,Non-Community (Transient),Other Residential Area        ,Unknown,Unknown,8,0,0,0,0,Plumas
CA4600051   ,GREENE ACRES PROP. O.A.,G. ROSS GORDON,TREASURER,530-862-0311   ,"BASSETTS CORNER-CROSSRD HWY 49/GOLD LK R, SIERRA CITY CA 96125",35,Non-Community (Transient),Residential Area              ,Private,Groundwater,1,0,0,0,0,Sierra
CA1510024   ,GREENFIELD COUNTY WD,MEL JOHNSON,GENERAL MANAGER,661-831-0989   ,551 TAFT HIGHWAYBAKERSFIELD CA 93307,8500,Community,Residential Area              ,Local,Groundwater,2660,5,5,0,0,Kern
CA2710008   ,"GREENFIELD, CITY OF",CARMEN LORENZANA,OFFICE SPECIALIST 2,831-674-2635   ,45 EL CAMINO REALGREENFIELD CA 93927,17898,Community,Residential Area              ,Local,Groundwater,3520,3,3,0,0,Monterey
CA3200195   ,GREENHAVEN HOA,MATT CERNEY,BOARD MEMBER,530-258-5133   ,1885 WOLF CREEK RDGREENVILLE CA 95947,38,Community,Residential Area              ,Private,Groundwater,19,1,0,0,0,Plumas
CA4000211   ,GREENHEART FARMS,RICARDO  LUNA, ,805-481-2234   , ARROYO GRANDE CA 93420,50,Non-Transient Non-Community,Industrial/Agricultural       ,Private,Groundwater,1,1,1,0,0,San Luis Obispo
CA3200188   ,GREENHORN CREEK CSD,TYSON RAEL,OPERATOR,530-283-9293   , SPRING GARDEN CA 95971,280,Community,Residential Area              ,Local,Groundwater,134,2,2,0,0,Plumas
CA3200140   ,GREENHORN CREEK GUEST RANCH,,,,,125,Community,Residential Area              ,Unknown,Unknown,40,0,0,0,0,Plumas
CA5000568   ,GREGORI HIGH SCHOOL,JOHN LIUKKONEN, ,209-576-4143   , MODESTO CA 95350,2000,Non-Transient Non-Community,School                        ,Local,Groundwater,9,1,1,0,0,Stanislaus
CA4700523   ,GRENADA SANITARY DISTRICT,PHIL PECK,WATER SYSTEM OPERATO,530-436-2563   ,SECOND ST. & SISKIYOU AVE.GRENADA CA 96038,300,Community,Residential Area              ,Private,Groundwater,140,1,2,0,0,Siskiyou
CA2800536   ,GRGICH HILLS,KEVIN  VECCHIARELLI, ,707-963-2784   , RUTHERFORD CA 94573,25,Non-Transient Non-Community,Hotel/Motel                   ,Private,Groundwater,15,2,0,0,0,Napa
CA0400169   ,GRIDLEY GRILL,,,, GRIDLEY CA 95948,750,Non-Community (Transient),Restaurant                    ,Private,Groundwater,1,1,1,0,0,Butte
CA5400728   ,GRIER MUTUAL WATER CO,HELEN ERB,BOARD SECRETARY,559-542-2204   , CAMP NELSON CA 93208,30,Community,Residential Area              ,Private,Groundwater,65,1,0,0,0,Tulare
CA0600003   ,GRIMES BOAT AND LANDING,LOIS LANE,MANAGER,530-437-2333   ,"1658 HWY 45, GRIMES CA 95950",50,Non-Community (Transient),Recreation Area               ,Private,Groundwater,1,1,0,0,0,Colusa
CA1500597   ,"GRIMMWAY ENTERPRISES, INC.",BRANDON GRIMM,MANAGER,661-854-6250   ,"830 SYCAMORE RD, ARVIN, CA 93203, BAKERSFIELD CA 93380-1498",300,Non-Transient Non-Community,Industrial/Agricultural       ,Private,Groundwater,7,2,5,0,0,Kern
CA1503093   ,GRIMMWAY ENTERPRISES-MALAGA WATER SYSTEM,KENT WILLIAMS,MANAGER,661-301-7314   ,"DI GIORGIO & MALAGA, ARVIN CA 93308",1200,Non-Transient Non-Community,Industrial/Agricultural       ,Private,Groundwater,39,3,4,0,0,Kern
CA3205005   ,GRIZZLY CREEK RANCH SHF,STEVE LEAL,MANAGER,530-832-1085   , PORTOLA CA 96122,300,Non-Community (Transient),Summer Camp                   ,Private,Groundwater,1,2,2,0,0,Plumas
CA1210308   ,GRIZZLY CREEK SP-STATE PARKS,WILLIAM TRAXLER,CHIEF OPERATOR,707-946-1802   ,"HWY 36, BRIDGEVILLE, WEOTT CA 95571",150,Non-Community (Transient),Recreation Area               ,State Government,Surface Water,1,0,1,3,0,Humboldt
CA3200278   ,GRIZZLY CREEK STATION,,,,,45,Non-Community (Transient),Restaurant                    ,Private,Unknown,2,0,0,0,0,Plumas
CA0910006   ,GRIZZLY FLATS COMMUNITY SERVIC,JODI LAUTHER,BILLING CONTACT,530-622-9626   ,4765 SCIARONI RD.GRIZZLY FLATS CA 95636,1300,Community,Residential Area              ,Local,Surface Water,575,1,2,1,0,El Dorado
CA3200107   ,GRIZZLY LAKE CSD-CROCKER/WELCH,RANDY MARK,OPERATIONS MANAGER,530-832-5225   ,GRIZZLY ROAD & VALLEY VIEWPORTOLA CA 96122,215,Community,Residential Area              ,Private,Groundwater,70,1,0,0,1,Plumas
CA3200104   ,GRIZZLY LAKE CSD-DELLEKER,LARRY TERRILL,BOARD CHAIRMAN,530-832-5225   ,"DELLEKER SUBDIVISION, DELLEKER CA 96122",657,Community,Residential Area              ,Local,Groundwater,330,2,0,0,0,Plumas
CA3205006   ,GRIZZLY RANCH CSD,ROBERT PERREAULT,DISTRICT MANAGER,530-283-6268   , PORTOLA CA 96122,25,Community,Residential Area              ,Local,Groundwater,24,3,1,0,0,Plumas
CA5000400   ,GRIZZLY ROCK CAF+,FRANK SANDERS, ,952-820-9059   ,4905 GOLDEN STATE BLVDTURLOCK CA 95382,199,Non-Community (Transient),Restaurant                    ,Private,Groundwater,1,1,0,0,0,Stanislaus
CA4901218   ,GROSKOPF WAREHOUSE & LOGISTICS,JOHN REED,OPERATIONS MANAGER,707-939-3110   ,20580 8TH STREET EASTSONOMA CA 95476,60,Non-Transient Non-Community,Industrial/Agricultural       ,Private,Groundwater,4,1,2,0,0,Sonoma
CA2800105   ,GROTH VINEYARDS & WINERY,,,,,45,Non-Community (Transient),Industrial/Agricultural       ,Private,Groundwater,1,1,0,0,0,Napa
CA5510009   ,GROVELAND COMMUNITY SERV DIST,JOHN STERLING,OPERATIONS MANAGER,209-962-7161   ,"18966 FERRETTI RD., GROVELAND CA 95321",3400,Community,Residential Area              ,Private,Surface Water,3229,0,3,3,0,Tuolumne
CA4010004   ,GROVER BEACH WATER DEPARTMENT,GREG RAY,PW DIRECTOR,805-473-4529   ,154 SOUTH 8TH STREETGROVER BEACH CA 93483,13156,Community,Residential Area              ,Local,Surface Water,5169,4,3,0,1,San Luis Obispo
CA5000580   ,GROVER LANDSCAPE WATER SYSTEM,HAROLD LONG, ,209-604-7715   , MODESTO CA 95356,26,Non-Transient Non-Community,Industrial/Agricultural       ,Private,Groundwater,2,1,0,0,0,Stanislaus
CA2702202   ,GROWERS COMPANY INC WS,MARK RODRIGUEZ, ,831-424-3850   , SALINAS CA 93908,200,Non-Transient Non-Community,Industrial/Agricultural       ,Private,Groundwater,6,1,2,0,0,Monterey
CA2702484   ,GROWERS SERVICE ASSN WS (ICE),DONALD WELLS, ,831-424-5781   , SALINAS CA 93901,200,Non-Transient Non-Community,Industrial/Agricultural       ,Private,Groundwater,1,2,2,0,0,Monterey
CA2701153   ,GROWERS TRANSPLANTING WS,KEVIN DOYLE, ,831-970-1004   , SALINAS CA 93907,50,Non-Transient Non-Community,Industrial/Agricultural       ,Private,Groundwater,1,1,0,0,0,Monterey
CA5403089   ,GRUMPY BEARS,SCOTT FOSTER, ,760-382-7971   , INYOKERN CA 93257,52,Non-Community (Transient),Restaurant                    ,Private,Groundwater,1,1,0,0,0,Tulare
CA1310016   ,GSA CALEXICO PORT OF ENTRY,GEORGE FLORES,BUILDING MGMT SPCLST,760-357-4510   ,1699 CARR ROADCALEXICO CA 92231,300,Non-Transient Non-Community,Other Transient Area          ,Federal,Surface Water Purchased,5,0,1,0,1,Imperial
CA3710048   ,GSA TECATE PORT OF ENTRY,WAYNE HUGHES,PROPERTY MANAGER,619-947-8202   ,"880 FRONT ST., SUITE 4236SAN DIEGO CA 92010",400,Non-Transient Non-Community,Other Transient Area          ,Federal,Groundwater,3,2,1,0,0,San Diego
CA1910004   ,GSWC - ARTESIA,SUNIL PILLAI,WATER QUALITY MANAGE,562-907-9200   ,"12035 BURKE ST., SUITE 1SANTA FE SPRINGS CA 90670",47978,Community,Residential Area              ,Private,Groundwater,10645,7,12,0,0,Los Angeles
CA1910011   ,"GSWC - BELL, BELL GARDENS",SUNIL PILLAI,WATER QUALITY MANAGE,562-907-9200   ,"12035 BURKE STREET, #1SANTA FE SPRINGS CA 90670",57934,Community,Residential Area              ,Private,Surface Water Purchased,7397,6,13,0,1,Los Angeles
CA1310003   ,GSWC - CALIPATRIA,PERRY DAHLSTROM,DISTRICT MANAGER,760-247-3391   ,"2143 E. CONVENTION CENTER WAY, ONTARIO CA 91764",4537,Community,Residential Area              ,Local,Surface Water,1171,0,2,0,1,Imperial
CA1910024   ,GSWC - CLAREMONT,DAWN WHITE,WATER QUALITY MGR,909-592-4271   ,"401 S. SAN DIMAS CANYON ROAD, SAN DIMAS CA 91773",37160,Community,Residential Area              ,Private,Surface Water Purchased,11085,19,15,0,5,Los Angeles
CA1910030   ,GSWC - CULVER CITY,SUNIL PILLAI,WATER QUALITY MANAGE,562-907-9200   ,"12035 BURKE STREET, SUITE 1SANTA FE SPRINGS CA 90670",36215,Community,Other Residential Area        ,Private,Surface Water Purchased,9292,1,1,0,3,Los Angeles
CA1910077   ,GSWC - FLORENCE/GRAHAM,SUNIL PILLAI,WATER QUALITY MANAGE,562-907-9200   ,"12035 BURKE STREET, SUITE 1SANTA FE SPRINGS CA 90670",65492,Community,Residential Area              ,Private,Surface Water Purchased,9662,7,19,0,3,Los Angeles
CA1910195   ,GSWC - HOLLYDALE,SUNIL PILLAI,WATER QUALITY MANAGE,562-907-9200   ,"12035 BURKE STREET, SUITE 1SANTA FE SPRINGS CA 90670",7661,Community,Residential Area              ,Private,Groundwater,1670,2,5,0,0,Los Angeles
CA1910098   ,GSWC - NORWALK,SUNIL PILLAI,WATER QUALITY MANAGE,562-907-9200   ,"12035 BURKE STREET, SUITE 1SANTA FE SPRINGS CA 90670",44466,Community,Residential Area              ,Private,Surface Water Purchased,9416,9,17,0,2,Los Angeles
CA1910155   ,GSWC - SOUTHWEST,KATHERINE NUTTING,GENERAL MANAGER,310-767-8200   ,"1600 WEST REDONDO BEACH BLVD, SUITE 101GARDENA CA 90247",271677,Community,Residential Area              ,Private,Surface Water Purchased,51446,15,20,0,14,Los Angeles
CA1910072   ,GSWC - WILLOWBROOK,SUNIL PILLAI,WATER QUALITY MANAGE,562-907-9200   ,"12035 BURKE STREET, SUITE 1SANTA FE SPRINGS CA 90670",10771,Community,Residential Area              ,Private,Groundwater,1421,2,1,0,1,Los Angeles
CA1910142   ,GSWC-SAN DIMAS,DAWN WHITE,WATER QUALITY MGR,909-592-4271   ,"401 S. SAN DIMAS CANYON ROAD, SAN DIMAS CA 91773",54872,Community,Residential Area              ,Private,Surface Water Purchased,15996,8,8,0,4,Los Angeles
CA1910212   ,GSWC-SOUTH ARCADIA,DAWN WHITE,WATER QUALITY MGR,909-592-4271   ,"401 S. SAN DIMAS CANYON ROAD, SAN DIMAS CA 91773",26827,Community,Residential Area              ,Private,Groundwater,7428,7,6,0,1,Los Angeles
CA1910223   ,GSWC-SOUTH SAN GABRIEL,DAWN WHITE,WATER QUALITY MGR,909-592-4271   ,"401 S. SAN DIMAS CANYON ROAD, SAN DIMAS CA 91773",27656,Community,Residential Area              ,Private,Surface Water Purchased,4920,5,7,0,1,Los Angeles
CA4000555   ,GUADALUPE COOLING COMPANY,BUTCH  KWID, ,, GUADALUPE CA 93434,35,Non-Transient Non-Community,Industrial/Agricultural       ,Private,Groundwater,1,1,2,0,0,San Luis Obispo
CA3302087   ,GUADALUPE HERRERA LABOR CAMP,,,, THERMAL CA 92274,20,Non-Public,,Private,Unknown,11,0,0,0,0,Riverside
