"Basin
Subbasin ID",Basin Name,Subbasin Name,Hydrologic Name,Basin - Subbasin Area (acre),Total Rank Scoring,Final Priority,Population (2010),Final Population Rank,"Population Growth
%",Final Population Growth Rank,Total Wells,Final Well Rank (discounted),Total Public Supply Wells,Final Public Supply Well Rank,"Groundwater Volume
(Ac-Ft)",% of total water supply supplied by groundwater,% of total water supply supplied by surface water,Final groundwater volume rank,Final % of total water supply supplied by groundwater rank,Final groundwater Reliance rank,Irrigated Acreage,Final Irrigated Acreage Rank,Impact Ranks,Impact Comments,Other Information Rank,Other Information Comments,Additional Comments
5-21.68,SACRAMENTO VALLEY,CAPAY VALLEY,Sacramento River,"24,970",11.5,Low,550,1,107%,0,501,3,2,1,"5,500",40%,60%,2,3,2.5,"6,066",3,1,Moderate to high levels of boron.,,,
5-22.01,SAN JOAQUIN VALLEY,EASTERN SAN JOAQUIN,San Joaquin River,"707,073",25.5,High,"582,662",2,133%,4,"19,176",3,521,3,"491,297",43%,57%,4,3,3.5,"410,810",5,3,"Estimated that 70,000 af/year of overdraft occurs in northeastern San Joaquin County and about 35,000 af/year of overdraft occurs in the Stockton East Water District (B-118) & (USBR 1996). Basin experiencing long term GW overdraft 160,000AF/yr (local GWMP",2,From B118: as a result of overdraft poor quality groundwater has been moving east along a 16- mile front on the east side of the Delta and has continued to migrate eastward (USACE 2001). Large areas of nitrate contamination are located in the subbasin.,
5-22.02,SAN JOAQUIN VALLEY,MODESTO,San Joaquin River,"246,518",23.5,High,"294,872",2,127%,3,"6,122",3,266,4,"226,000",32%,68%,5,2,3.5,"116,709",4,4,Water quality degradation due to industrial and agricultural practices,,,GW Use based on B118-03 data
5-22.03,SAN JOAQUIN VALLEY,TURLOCK,San Joaquin River,"347,146",21.5,High,"197,605",2,125%,3,"9,758",3,202,3,"450,000",36%,64%,5,2,3.5,"250,852",5,2,Groundwater overdraft documented in local GWMP.,,,
5-22.04,SAN JOAQUIN VALLEY,MERCED,San Joaquin River,"491,255",22.5,High,"173,731",1,137%,4,"8,392",3,152,2,"364,227",46%,54%,4,3,3.5,"279,142",5,4,Overdraft and water quality degradation (MAGPI GWMP).,,,
5-22.05,SAN JOAQUIN VALLEY,CHOWCHILLA,San Joaquin River,"159,319",21.3,High,"15,820",1,134%,4,"2,203",2.25,26,2,"210,976",53%,47%,5,3,4,"153,038",5,3,"Overdraft, subsidence, water quality degradation",,,
5-22.06,SAN JOAQUIN VALLEY,MADERA,San Joaquin River,"393,429",25.0,High,"116,919",1,143%,5,"9,100",3,132,2,"375,800",58%,42%,5,3,4,"238,070",5,5,"Subsidence, critical overdraft, water quality degradation",,,
5-22.07,SAN JOAQUIN VALLEY,DELTA-MENDOTA,San Joaquin River,"746,697",22.3,High,"107,879",1,149%,5,"7,132",2.25,116,1,"509,687",37%,63%,4,2,3,"470,500",5,2,Overdraft issues in basin discussed in San Luis and Delta Mendota Water Authority GWMP,3,Important agricultural region.,
5-22.08,SAN JOAQUIN VALLEY,KINGS,Tulare Lake,"977,030",22.8,High,"906,544",2,133%,4,"37,841",3.75,781,4,"1,055,502",48%,52%,5,3,4,"720,852",5,,,,,
5-22.09,SAN JOAQUIN VALLEY,WESTSIDE,Tulare Lake,"640,504",22.5,High,"27,285",1,106%,1,"3,790",1.5,8,1,"411,534",37%,63%,4,2,3,"513,759",5,5,"Subsidence, critical overdraft, saline conditions, subsidence",5,"Additional points added for critical agricultural importance, very high TDS and pesticide contamination issues",
5-22.10,SAN JOAQUIN VALLEY,PLEASANT VALLEY,Tulare Lake,"145,782",11.8,Low,"34,213",1,122%,3,358,0.75,0,0,"47,383",86%,14%,3,5,4,"28,131",3,,,,,
5-22.11,SAN JOAQUIN VALLEY,KAWEAH,Tulare Lake,"446,283",26.5,High,"271,700",2,149%,5,"12,092",3,304,3,"453,226",38%,62%,5,2,3.5,"380,311",5,5,"Overdraft, water quality issues.",,,
5-22.12,SAN JOAQUIN VALLEY,TULARE LAKE,Tulare Lake,"524,539",22.3,High,"125,701",1,141%,4,"5,345",2.25,68,1,"504,271",58%,42%,5,3,4,"332,240",5,5,"Subsidence, overdraft, water quality degradation",,,
5-22.13,SAN JOAQUIN VALLEY,TULE,Tulare Lake,"469,959",22.3,High,"108,660",1,137%,4,"6,355",2.25,170,2,"592,823",55%,45%,5,3,4,"371,028",5,4,Critical aquifer overdraft conditions in basin. High Nitrate and TDS in some locations and some inorganic contamination issues.,,,
5-22.14,SAN JOAQUIN VALLEY,KERN COUNTY,Tulare Lake,"1,950,113",22.5,High,"700,323",1,154%,5,"15,015",1.5,577,2,"1,041,462",36%,64%,4,2,3,"919,821",4,5,"Subsidence, overdraft, water quality degradation",1,"Agricultural importance, large basin which results in low population density.",
5-22.15,SAN JOAQUIN VALLEY,TRACY,San Joaquin River,"344,884",19.0,Medium,"268,175",2,133%,4,"7,267",3,218,3,"19,198",2%,98%,1,1,1,"224,284",5,1,Poor water quality throughout the subbasin.(B-118),,,
5-22.16,SAN JOAQUIN VALLEY,COSUMNES,San Joaquin River,"280,490",15.0,Medium,"59,163",1,117%,2,"5,539",3,59,2,"155,475",77%,23%,4,4,4,"82,534",3,,,,,
5-23,PANOCHE VALLEY,,Tulare Lake,"33,090",0.0,Very Low,41,0,141%,0,26,0.75,0,0,200,100%,0%,0,5,0,122,1,,,,,
5-25,KERN RIVER VALLEY,,Tulare Lake,"79,678",0.0,Very Low,"10,364",1,102%,1,843,2.25,82,4,"8,068",100%,0%,0,0,0,"2,391",1,,,,,
5-26,WALKER BASIN CREEK VALLEY,,Tulare Lake,"7,693",0.0,Very Low,249,1,126%,0,134,3,1,1,3,1%,99%,0,1,0,348,2,,,,,
5-27,CUMMINGS VALLEY,,Tulare Lake,"10,051",22.0,High,"7,665",2,210%,5,171,3,14,4,"3,000",100%,0%,3,5,4,"2,925",3,,,1,Adjudicated basin,GW Use based on 2011 Cummings Water Master report Basin in slight overdraft conditions
5-28,TEHACHAPI VALLEY WEST,,Tulare Lake,"14,854",20.3,Medium,"17,313",2,149%,5,533,3.75,27,5,"3,500",10%,90%,2,1,1.5,348,1,1,Groundwater quality issues,1,Adjudicated basin,GW Use based on B118-03 data
5-29,CASTAC LAKE VALLEY,,Tulare Lake,"3,573",0.0,Very Low,366,1,137%,0,8,0.75,6,5,87,100%,0%,1,5,0,19,1,,,,,
5-3,JESS VALLEY,,Sacramento River,"6,708",0.0,Very Low,13,0,100%,0,4,0.75,0,0,3,0%,100%,1,1,0,"3,947",5,,,,,
5-30,LOWER LAKE VALLEY,,Sacramento River,"2,404",0.0,Very Low,"2,694",2,75%,0,33,2.25,4,5,577,97%,3%,2,5,0,70,1,,,,,"PubCom - Changed  irrigated acreage to 18 ac/sq. mi, GW use of 0.24 ac-ft/ac, calculated volume is 577 Af-ft, 97% of the total supply coming from GW"
5-31,LONG VALLEY,,Sacramento River,"2,799",0.0,Very Low,194,1,121%,0,40,2.25,0,0,532,100%,0%,2,5,0,450,3,,,,,"PubCom - Changed  irrigated acreage to 103 ac/sq. mi, GW use of 0.19 ac-ft/ac, calculated volume is 532 Af-ft, 100% of the total supply coming from GW"
5-35,MCCLOUD AREA,,Sacramento River,"21,320",0.0,Very Low,822,1,83%,0,131,1.5,1,1,"2,000",49%,51%,1,3,0,37,1,,,,,GW Use based on B118-03 data
5-36,ROUND VALLEY,,Sacramento River,"7,266",0.0,Very Low,27,0,93%,0,33,1.5,0,0,"2,811",45%,55%,0,0,0,"2,981",4,,,,,
5-37,TOAD WELL AREA,,Sacramento River,"3,356",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,
5-38,PONDOSA TOWN AREA,,Sacramento River,"2,082",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,305,2,,,,,
5-4,BIG VALLEY,,Sacramento River,"92,050",13.5,Medium,"1,046",1,101%,0,610,1.5,9,1,"35,000",50%,50%,3,3,3,"34,129",4,3,Declining GW Levels over much of the basin.,,,GW Use based on B118-03 data
5-40,HOT SPRINGS VALLEY,,Sacramento River,"2,404",0.0,Very Low,12,0,150%,0,11,1.5,0,0,300,11%,89%,2,1,0,"1,036",4,,,,,
5-41,EGG LAKE VALLEY,,Sacramento River,"4,101",0.0,Very Low,0,0,0%,0,2,0.75,0,0,0,0%,100%,0,0,0,0,0,,,,,
5-43,ROCK PRAIRIE VALLEY,,Sacramento River,"5,740",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,
5-44,LONG VALLEY,,Sacramento River,"1,088",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,
5-45,CAYTON VALLEY,,Sacramento River,"1,306",0.0,Very Low,2,0,100%,0,10,1.5,0,0,5,0%,100%,0,1,0,"1,100",5,,,,,GW Use based on B118-03 data
5-46,LAKE BRITTON AREA,,Sacramento River,"14,055",0.0,Very Low,84,0,101%,0,30,0.75,3,2,43,17%,83%,0,1,0,55,1,,,,,
5-47,GOOSE VALLEY,,Sacramento River,"4,208",0.0,Very Low,10,0,110%,0,7,0.75,0,0,405,4%,96%,1,1,0,"3,269",5,,,,,
5-48,BURNEY CREEK VALLEY,,Sacramento River,"2,352",0.0,Very Low,"1,466",2,100%,1,25,2.25,0,0,849,17%,83%,3,1,0,"1,690",5,,,,,
5-49,DRY BURNEY CREEK VALLEY,,Sacramento River,"3,074",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,GW Use based on B118-03 data
5-5,FALL RIVER VALLEY,,Sacramento River,"54,803",12.8,Low,"1,629",1,102%,0,659,2.25,4,1,"22,722",29%,71%,3,2,2.5,"31,850",5,1,"Locally high nitrates. Variable GW level trends with some regions showing declines. Strong SW-GW interaction and GW dependent fisheries. Ecosystem dependent basin (springs, fisheries)",,,
5-50,NORTH FORK BATTLE CREEK,,Sacramento River,"12,755",0.0,Very Low,528,1,157%,0,312,3,9,3,3,0%,100%,0,1,0,997,2,,,,,
5-51,BUTTE CREEK VALLEY,,Sacramento River,"3,227",0.0,Very Low,0,0,0%,0,2,0.75,0,0,0,0%,100%,0,0,0,155,2,,,,,
5-52,GRAYS VALLEY,,Sacramento River,"5,440",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,
5-53,DIXIE VALLEY,,Sacramento River,"4,866",0.0,Very Low,6,0,133%,0,0,0,0,0,0,4.86E-05,100%,0,0,0,"2,796",5,,,,,
5-54,ASH VALLEY,,Sacramento River,"6,008",0.0,Very Low,3,0,100%,0,11,0.75,0,0,2,0%,100%,0,1,0,945,3,,,,,
5-56,YELLOW CREEK VALLEY,,Sacramento River,"2,311",0.0,Very Low,2,0,100%,0,0,0,0,0,1,0%,100%,0,1,0,"1,377",5,,,,,
5-57,LAST CHANCE CREEK VALLEY,,Sacramento River,"4,659",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,
5-58,CLOVER VALLEY,,Sacramento River,"16,784",0.0,Very Low,0,0,0%,0,9,0.75,0,0,5,1%,99%,0,1,0,"7,324",4,,,,,GW Use based on well log data.
5-59,GRIZZLY VALLEY,,Sacramento River,"13,441",0.0,Very Low,0,0,0%,0,8,0.75,0,0,0,0%,100%,0,0,0,0,0,,,,,
5-6.01,REDDING AREA,BOWMAN,Sacramento River,"78,426",16.0,Medium,"7,165",1,155%,5,"1,498",3,13,2,"16,500",39%,61%,2,2,2,"3,384",2,1,Some localized high boron.,,,GW Use on Tehama Co GW Inventory data
5-6.02,REDDING AREA,ROSEWOOD,Sacramento River,"46,455",0.0,Very Low,"1,009",1,137%,0,442,2.25,0,0,"1,450",21%,79%,1,2,0,"2,395",2,,,,,
5-6.03,REDDING AREA,ANDERSON,Sacramento River,"96,857",17.3,Medium,"52,937",2,112%,2,"3,430",3.75,109,4,"63,572",53%,47%,4,3,3.5,"12,473",2,,,,,
5-6.04,REDDING AREA,ENTERPRISE,Sacramento River,"60,862",17.3,Medium,"68,627",2,125%,3,"2,768",3.75,68,4,"8,576",13%,87%,2,1,1.5,"7,010",2,,,1,Strong SW-GW interaction and endangered Sac River salmon runs,
5-6.05,REDDING AREA,MILLVILLE,Sacramento River,"65,226",0.0,Very Low,"2,640",1,155%,0,807,2.25,2,1,"6,842",37%,63%,0,0,0,"6,548",2,,,,,
5-6.06,REDDING AREA,SOUTH BATTLE CREEK,Sacramento River,"33,835",0.0,Very Low,48,0,144%,0,48,0.75,0,0,908,22%,78%,1,2,0,"1,444",2,,,,,
5-60,HUMBUG VALLEY,,Sacramento River,"9,979",0.0,Very Low,"3,299",1,100%,0,341,3.75,8,4,200,46%,54%,0,3,0,648,2,,,,,GW Use based on B118-03 data
5-61,CHROME TOWN AREA,,Sacramento River,"1,408",0.0,Very Low,6,0,100%,0,4,0.75,0,0,0,0%,100%,0,0,0,0,0,,,,,
5-62,ELK CREEK AREA,,Sacramento River,"1,438",0.0,Very Low,174,1,100%,0,0,0,0,0,13,6%,94%,0,1,0,44,1,,,,,
5-63,STONYFORD TOWN AREA,,Sacramento River,"6,437",0.0,Very Low,183,1,90%,0,61,2.25,5,3,"3,512",51%,49%,0,0,0,"1,584",3,,,,,
5-64,BEAR VALLEY,,Sacramento River,"9,104",0.0,Very Low,4,0,75%,0,10,0.75,0,0,0,0%,100%,0,0,0,565,2,,,,,
5-65,LITTLE INDIAN VALLEY,,Sacramento River,"1,269",0.0,Very Low,112,1,90%,0,47,3.75,0,0,507,70%,30%,3,4,0,148,2,,,,,
5-66,CLEAR LAKE CACHE FORMATION,,Sacramento River,"29,717",0.0,Very Low,"7,960",1,155%,5,144,1.5,3,1,297,18%,82%,0,1,0,177,1,,,,,"PubCom - Changed  irrigated acreage to 3.8 ac/sq. mi, GW use of 0.01 ac-ft/ac, calculated volume is 297 Af-ft, 18% of the total supply coming from GW"
5-68,POPE VALLEY,,Sacramento River,"7,177",0.0,Very Low,110,1,117%,0,54,1.5,0,0,13,1%,99%,2,1,0,"2,351",4,,,,,
5-69,YOSEMITE VALLEY,,San Joaquin River,"7,465",0.0,Very Low,"1,016",1,320%,5,6,0.75,6,4,242,100%,0%,1,5,0,,0,,,,,
5-7,LAKE ALMANOR VALLEY,,Sacramento River,"7,152",0.0,Very Low,"2,121",1,100%,0,49,1.5,4,3,810,52%,48%,2,3,0,247,1,,,,,
5-70,LOS BANOS CREEK VALLEY,,San Joaquin River,"4,835",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,
5-71,VALLECITOS CREEK VALLEY,,Tulare Lake,"15,110",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,
5-8,MOUNTAIN MEADOWS VALLEY,,Sacramento River,"8,145",0.0,Very Low,0,0,0%,0,3,0.75,0,0,0,0%,100%,0,0,0,"3,719",4,,,,,
5-80,BRITE VALLEY,,Tulare Lake,"3,181",0.0,Very Low,684,1,200%,0,111,3.75,4,4,256,44%,56%,1,3,0,160,2,,,1,Adjudicated basin,
5-82,CUDDY CANYON VALLEY,,Tulare Lake,"3,308",0.0,Very Low,"2,641",2,134%,4,47,2.25,9,5,580,100%,0%,2,5,0,0,0,,,,,
5-83,CUDDY RANCH AREA,,Tulare Lake,"4,213",0.0,Very Low,774,1,113%,0,30,1.5,8,5,0,0%,100%,0,0,0,290,2,,,,,
5-84,CUDDY VALLEY,,Tulare Lake,"3,474",0.0,Very Low,779,1,125%,0,38,2.25,10,5,186,100%,0%,1,5,0,0,0,,,,,
5-85,MIL POTRERO AREA,,Tulare Lake,"2,314",0.0,Very Low,"1,288",2,159%,5,13,1.5,5,5,307,100%,0%,2,5,0,0,0,,,,,
5-86,JOSEPH CREEK,,Sacramento River,"4,458",0.0,Very Low,13,0,146%,0,22,1.5,0,0,"1,103",52%,48%,2,3,0,"1,074",3,,,,,
5-87,MIDDLE FORK FEATHER RIVER,,Sacramento River,"4,342",0.0,Very Low,177,1,98%,0,101,3,1,2,68,14%,86%,0,1,0,132,1,,,,,
5-88,STONY GORGE RESERVOIR,,Sacramento River,"1,065",0.0,Very Low,0,0,0%,0,0,0,0,0,10,1%,99%,0,1,0,310,3,,,,,GW Use based on B118-03 data
5-89,SQUAW FLAT,,Sacramento River,"1,294",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,
5-9,INDIAN VALLEY,,Sacramento River,"29,413",0.0,Very Low,"1,718",1,100%,0,487,3,7,2,100,2%,98%,0,1,0,"11,535",4,,,,,GW Use based on B118-03 data
5-90,FUNKS CREEK,,Sacramento River,"3,012",0.0,Very Low,0,0,0%,0,4,0.75,0,0,0,0%,100%,0,0,0,109,1,,,,,
5-91,ANTELOPE CREEK,,Sacramento River,"2,040",0.0,Very Low,3,0,167%,0,3,0.75,0,0,1,1%,99%,0,1,0,339,3,,,,,
5-92,BLANCHARD VALLEY,,Sacramento River,"2,221",0.0,Very Low,0,0,0%,0,2,0.75,0,0,1,1%,99%,0,1,0,138,2,,,,,GW Use based on well log data.
5-93,NORTH FORK CACHE CREEK,,Sacramento River,"3,474",0.0,Very Low,0,0,0%,0,1,0.75,0,0,0,0%,100%,0,0,0,0,0,,,,,"PubCom - No reliance on GW, No Irr Ac, etc. - Basin is actually a reservoir and its classification as a GW basin is under review"
5-94,MIDDLE CREEK,,Sacramento River,705,0.0,Very Low,10,1,60%,0,16,3,0,0,402,92%,8%,4,5,0,96,2,,,,,"PubCom - Changed irrigated acreage to 87 ac/sq. mi, GW use of 0.57 ac-ft/ac, calculated volume is 402 Af-ft, 92% of the total supply coming from GW"
5-95,MEADOW VALLEY,,Sacramento River,"5,734",0.0,Very Low,387,1,98%,0,176,3,1,2,148,13%,87%,1,1,0,344,2,,,,,
6-1,SURPRISE VALLEY,,North Lahontan,"228,460",8.8,Low,"1,127",0,102%,0,557,0.75,2,1,"33,307",36%,64%,2,2,2,"49,199",3,2,"Declining GW Levels and GW Quality issues (sodium sulfate, high TDS, and thermal waters) in various portions of the basin.",,,
6-10,ADOBE LAKE VALLEY,,South Lahontan,"39,978",0.0,Very Low,4,0,125%,0,2,0.75,0,0,200,100%,0%,0,5,0,0,0,,,,,
6-100,SECRET VALLEY,,North Lahontan,"33,680",0.0,Very Low,26,0,108%,0,31,0.75,0,0,"5,406",50%,50%,0,0,0,"2,813",2,,,,,GW Use based on B118-03 data
6-101,BULL FLAT,,North Lahontan,"18,151",0.0,Very Low,2,0,350%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,
6-104,LONG VALLEY,,North Lahontan,"46,836",0.0,Very Low,141,0,70%,0,128,0.75,0,0,423,9%,91%,0,1,0,"1,085",1,,,3,Groundwater Exports to Reno are being evaluated. Long Valley Creek is a major source of recharge to Honey Lake GW Basin. Long Valley also provides underflow to Cold Spring Valley.,
6-105,SLINKARD VALLEY,,North Lahontan,"4,517",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,
6-106,LITTLE ANTELOPE VALLEY,,North Lahontan,"2,491",0.0,Very Low,0,0,0%,0,3,0.75,0,0,0,0%,100%,0,0,0,658,3,,,,,
6-107,SWEETWATER FLAT,,North Lahontan,"4,747",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,89,1,,,,,
6-108,OLYMPIC VALLEY,,North Lahontan,702,0.0,Very Low,471,2,83%,0,8,2.25,4,5,0,0%,100%,0,0,0,0,0,,,,,
6-11,LONG VALLEY,,South Lahontan,"72,028",0.0,Very Low,800,1,118%,0,20,0.75,16,2,87,0%,100%,2,1,0,"6,898",2,1,"Local impairments from thermal waters and some springs with high TDS, fluoride, boron, and other elements, but water quality suitable overall.",,,
6-12,OWENS VALLEY,,South Lahontan,"663,458",13.8,Medium,"17,664",1,116%,0,"1,279",0.75,95,1,"140,000",70%,30%,2,4,3,"25,560",1,2,Minor impairments locally due to inorganics.,5,Actual GW Volume not fully captured due to GW exports out of the basin. GW volume reflects the additional 100K AF of pumping that is exported. GW % is adjusted to reflect the additional pumping.,
6-13,BLACK SPRINGS VALLEY,,South Lahontan,"30,911",0.0,Very Low,0,0,0%,0,3,0.75,0,0,0,0%,100%,0,0,0,0,0,,,,,
6-14,FISH LAKE VALLEY,,South Lahontan,"48,333",6.8,Low,36,0,128%,0,10,0.75,0,0,"19,857",97%,3%,3,5,4,"3,487",2,,,,,
6-15,DEEP SPRINGS VALLEY,,South Lahontan,"30,048",0.0,Very Low,5,0,540%,0,1,0.75,2,1,912,100%,0%,1,5,0,149,1,,,,,
6-16,EUREKA VALLEY,,South Lahontan,"129,329",0.0,Very Low,10,0,540%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,
6-17,SALINE VALLEY,,South Lahontan,"146,850",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,5,"GW Quality Impairments: High TDS and Fluorides, groundwater is inferior for domestic use. (B-118)",,,
6-18,DEATH VALLEY,,South Lahontan,"926,496",0.0,Very Low,190,0,123%,0,52,0.75,5,1,"1,060",100%,0%,0,5,0,17,1,,,,,
6-19,WINGATE VALLEY,,South Lahontan,"71,755",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,
6-2,MADELINE PLAINS,,North Lahontan,"156,152",7.8,Low,151,0,159%,0,231,0.75,0,0,"42,400",56%,44%,3,3,3,"25,052",3,1,"Localized naturally occurring water quality issues (high TDS, nitrates, boron, ASAR, etc)",,,
6-20,MIDDLE AMARGOSA VALLEY,,South Lahontan,"392,862",0.0,Very Low,230,0,175%,0,64,0.75,8,1,120,100%,0%,0,5,0,0,0,4,"Water quality is rated inferior to marginal for domestic purposes due to elevated fluoride and boron contents; however, locally groundwater is of good quality. (B-118)",,,
6-21,LOWER KINGSTON VALLEY,,South Lahontan,"241,892",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,5,"Groundwater is inferior for domestic or irrigation purposes due to elevated fluoride, chloride, boron, sulfate and TDS (B-118)",,,
6-22,UPPER KINGSTON VALLEY,,South Lahontan,"178,533",0.0,Very Low,37,0,16%,0,26,0.75,5,1,87,100%,0%,0,5,0,0,0,4,Groundwater is marginal to inferior for domestic or irrigation purposes due to elevated fluoride and TDS (B-118).,,,
6-23,RIGGS VALLEY,,South Lahontan,"88,274",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,
6-24,RED PASS VALLEY,,South Lahontan,"97,088",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,
6-25,BICYCLE VALLEY,,South Lahontan,"90,100",0.0,Very Low,0,0,0%,0,2,0.75,3,1,0,0%,100%,0,0,0,0,0,3,Elevated TDS and fluoride (B-118).,,,
6-26,AVAWATZ VALLEY,,South Lahontan,"27,826",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,
6-27,LEACH VALLEY,,South Lahontan,"61,620",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,
6-28,PAHRUMP VALLEY,,South Lahontan,"93,747",0.0,Very Low,99,0,190%,0,55,0.75,0,0,101,100%,0%,2,5,0,0,0,2,Water levels generally declining per B-118 and USGS NWIS. State of Nevada Department of Water Resources has documented overdraft and subsidence conditions in this basin (http://water.nv.gov/documents/presentations/pahru mp.pdf),,,
6-29,MESQUITE VALLEY,,South Lahontan,"89,012",0.0,Very Low,64,0,144%,0,58,0.75,0,0,"1,675",16%,84%,1,1,0,"1,626",1,3,Declining water levels. Locally high TDS in  southern portion of basin makes GW marginal to inferior for domestic uses. (B-118),,,
6-3,WILLOW CREEK VALLEY,,North Lahontan,"11,698",0.0,Very Low,62,0,156%,0,48,1.5,0,0,"6,914",36%,64%,0,0,0,"4,946",4,,,,,
6-30,IVANPAH VALLEY,,South Lahontan,"200,155",0.0,Very Low,40,0,63%,0,54,0.75,13,1,89,100%,0%,0,5,0,0,0,4,Basin groundwater is rated marginal to inferior for both domestic and irrigational use because of elevated fluoride and sodium.(B-118),,,
6-31,KELSO VALLEY,,South Lahontan,"257,279",0.0,Very Low,20,0,100%,0,16,0.75,0,0,83,100%,0%,0,5,0,0,0,,,,,
6-32,BROADWELL VALLEY,,South Lahontan,"92,688",0.0,Very Low,8,0,113%,0,30,0.75,4,1,65,100%,0%,0,5,0,0,0,,,,,
6-33,SODA LAKE VALLEY,,South Lahontan,"383,560",0.0,Very Low,750,0,106%,0,159,0.75,7,1,94,100%,0%,0,5,0,0,0,5,"Groundwater quality is rated marginal to inferior for both domestic and irrigation purposes. This assessment is based on 66 analyses showing elevated concentrations of fluoride, boron, and TDS. Geotracker shows many LUST sites.",,,
6-34,SILVER LAKE VALLEY,,South Lahontan,"35,519",0.0,Very Low,0,0,0%,0,2,0.75,0,0,0,0%,100%,0,0,0,0,0,4,"Groundwater in this basin is rated marginal to inferior for both domestic and irrigation uses because of elevated concentrations of fluoride, boron, and TDS. (B-118)",,,
6-35,CRONISE VALLEY,,South Lahontan,"127,313",0.0,Very Low,2,0,100%,0,4,0.75,0,0,0,0%,100%,0,0,0,0,0,,,,,
6-36.01,LANGFORD VALLEY,LANGFORD WELL LAKE,South Lahontan,"19,457",0.0,Very Low,0,0,0%,0,0,0,3,1,0,0%,100%,0,0,0,0,0,,,,,
6-36.02,LANGFORD VALLEY,IRWIN,South Lahontan,"10,557",0.0,Very Low,"8,845",2,145%,5,40,1.5,1,1,0,0%,100%,0,0,0,0,0,3,Locally high iron and fluoride concentrations.(B-118),,,
6-37,COYOTE LAKE VALLEY,,South Lahontan,"88,735",0.0,Very Low,99,0,139%,0,3,0.75,0,0,102,100%,0%,0,5,0,0,0,4,"Groundwater quality is rated as inferior to marginal for both domestic and irrigation purposes because of elevated levels of fluoride, boron, sodium, and TDS. (B-118).",,,
6-38,CAVES CANYON VALLEY,,South Lahontan,"73,542",0.0,Very Low,88,0,219%,0,2,0.75,5,1,0,0%,100%,0,0,0,0,0,3,"Suitability of groundwater quality is rated inferior for irrigation and suitable to inferior for domestic use (DWR 1964). Historical measurements show TDS content ranging from 622 to 1,272 mg/L with an average of 904 mg/L (DWR 1964).",,,
6-4,HONEY LAKE VALLEY,,North Lahontan,"311,741",12.3,Low,"23,566",1,100%,0,"2,661",2.25,37,1,"50,721",32%,68%,2,2,2,"42,746",2,2,"GW Quality Issues: High boron, arsenic, ASAR, TDS, and Nitrates between Lichfield and Honey Lake, east of Honey Lake, and north of Herlong area. GW contamination from Herlong Army depot. Increased GW demand associated with prison expansion.",2,Interstate basin. Local concerns over GW export from Fish Springs Ranch to Reno.,
6-40,LOWER MOJAVE RIVER VALLEY,,South Lahontan,"287,563",15.3,Medium,"32,938",1,103%,1,63,0.75,64,2,"31,374",99%,1%,2,5,3.5,"6,126",1,5,"Groundwater basin has been in overdraft. Water quality has been impaired from natural sources, leaking tanks, and superfund sites from military bases.",1,Basin is adjudicated. USGS reports GW Level declines of 100 ft since the 1930s,
6-41,MIDDLE MOJAVE RIVER VALLEY,,South Lahontan,"212,595",11.3,Low,"6,654",1,124%,0,15,0.75,12,1,"30,000",86%,14%,2,5,3.5,685,1,3,"Groundwater Quality impairments for VOCs, salts, nitrates, and irrigation effluents. Waste water treatment plant have also affected groundwater quality. Some nitrates and fluoride exceed MCL.",1,Basin is adjudicated.,"GW Use based on B118-03 data, references MWA for the 1997-1998 water year."
